  : 1151521600
! : 32714
" : 1151521600
# : 32714
% : 22051
& : 3702465440
' : 22051
( : 168649082
) : 1851881338
+ : 2047479154
, : 1650813303
- : 225141601
. : 1769437706
/ : 1667326565
0 : 168653675
1 : 1701410682
2 : 1768711539
3 : 168650100
4 : 1852405626
5 : 1634298983
6 : 2047479150
7 : 1735289207
8 : 1851877740
9 : 225276777
: : 1769437706
; : 1768712046
< : 1936289377
= : 2047479156
> : 1953786231
? : 168653413
@ : 1953068922
[ : 1769104756
\ : 168652399
] : 1953068922
^ : 1769104756
_ : 1667853935
` : 2037540199
a : 1769605645
b : 1734441575
c : 168655207
d : 2053597562
e : 1768384353
f : 168650606
g : 2053597562
h : 225666913
i : 1734965770
j : 2003263866
k : 225671521
l : 1734965770
m : 2003263866
n : 224752489
o : 1751742986
p : 168653409
q : 1802201466
r : 1952543349
s : 1769605645
t : 1920297835
u : 225670241
v : 1802074634
w : 1952543349
x : 1769605645
y : 1634891115
z : 168653684
{ : 1634494842
| : 1769605645
} : 224945004
~ : 1818851850
